id,C18,C20,C22,C24,C26,C28,C30,C32,Al,As,Be,Bi,B,Ca,Cd,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,Pb,P,Rb,Sb,Se,S,Sr,Ti,Tl,V,Zn,DC18,DC20,DC22,DC24,DC26,DC28,DC30,DC32,DAl,DAs,DBe,DBi,DB,DCa,DCd,DCo,DCr,DCu,DFe,DK,DLi,DMg,DMn,DMo,DNa,DNi,DPb,DP,DRb,DSb,DSe,DS,DSr,DTi,DTl,DV,DZn,n
AG,-1.9727,0.328,0.3975,1.1509,-0.2049,0.8263,-0.5579,0.1224,17583.5,1.5725,0.975,15.31,2883.5,101040,0.258,0.3858,46.43,12.44,14690,10683.75,34.97,3552,337.7,0.4203,4329.25,27.9975,20.86,422.65,45.22,0.5703,4.8925,763.475,349.825,2877.5,134.275,56.1175,39.95,18.7515,1.2564,1.4296,1.5005,1.381,1.4059,1.101,0.5385,7932.5215,0.7306,0.1707,2.4124,939.8129,6449.1705,0.2572,0.6664,5.542,1.5821,1679.6131,1992.7286,7.7519,992.5399,38.2646,0.2442,583.5308,4.6416,2.7573,45.1116,13.4597,0.3417,0.5247,54.9489,29.3686,332.3646,31.2083,9.2371,5.8015,5
CB,32.7214,1.9223,2.4327,5.445,5.5211,6.3922,2.3706,3.0751,23840.92,0.3013,0.9452,16.0687,3903.458,93419.8,0.171,0.001,46.4995,12.0474,15293.86,11148.252,37.9558,3783.218,314.2606,0.6313,4719.086,30.3339,21.7801,296.3582,48.5469,0.5013,5.1703,886.6364,352.1696,3306.6,151.5024,60.798,40.0499,10.3759,0.8212,0.9906,1.5719,1.9849,0.8961,0.8504,1.2181,579.9475,0.367,0.0879,0.9269,408.7281,10870.6746,0.2078,0,2.3345,0.8372,683.2833,955.5678,3.1571,397.6748,27.3408,0.0442,470.4554,0.349,0.357,24.8345,8.581,0.326,0.451,266.4855,100.4165,164.2538,12.3892,6.2402,3.832,5
RG,3.5654,4.1907,11.6099,11.036,14.4962,11.7643,-1.7273,-1.5532,22620.2131,1.4553,1.2071,17.4556,3567.2608,79664.8596,0.5461,0.1147,68.4198,13.1025,19524.7013,11767.7476,39.9503,3904.3562,359.2567,1.2949,4886.0614,35.7837,24.4137,271.5438,54.03,0.5229,7.2781,663.1941,277.4522,3174.6445,145.8234,64.4477,45.7132,17.2487,2.359,4.6261,4.3515,12.4246,4.521,4.0128,1.8196,12564.9489,1.0965,0.3312,2.4032,432.1667,17449.2112,0.2051,0.3406,21.0481,3.5775,3297.9501,2770.7028,10.1234,1140.8224,73.7424,1.4804,520.643,10.2315,5.2255,30.5589,25.5218,0.4802,2.6696,90.108,63.8319,537.8054,32.8355,13.889,8.3645,15
SS,26.4713,0.7781,0.7963,1.3024,1.4231,1.2989,1.016,1.7866,24592.5,0.9828,1.355,22.88,5975,108800,0.665,0.001,75.8,12.19,22970,14960,47.185,4150,301.125,1.3925,5362,44.3525,26.8425,278.725,39.36,0.278,8.2075,1029.55,510.475,3289.25,165.575,80.04,48.9425,15.1153,1.0104,0.4878,0.6024,0.1942,0.514,0.7386,1.2154,2679.8263,0.7469,0.3058,3.1295,1023.842,6257.3956,0.0832,0,10.718,1.2018,3509.537,2448.9079,7.5976,285.4041,27.4177,0.1677,797.2035,3.8999,2.4184,12.1152,5.1314,0.2797,0.7109,280.8755,104.5877,167.1293,8.7262,13.4043,5.5113,5
M1,0,0,0,0,0,0,0,0,19620,3.4,1.12,15.14,1920,85630,0.54,8.98,24.27,17.16,11870,12810,45.52,6047,892.3,0.51,3859,48.76,18.46,389.1,71.74,0.52,1.61,1486,666.7,2830,0.1,63.08,283.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
